# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
arm,model,tier,budget_level,budget_tokens,variant,in_freeze,pipeline,repeats,n,items,n_applied_with_certificate,n_applied_uncertified,n_blocked_correct,n_blocked_false,n_referred,n_execution_failed,n_model_refused,share_applied_with_certificate,share_applied_uncertified,share_blocked_correct,share_blocked_false,share_referred,share_execution_failed,share_model_refused,violations_n,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,benign_n,false_block_rate,applied_n,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_vs_rule_mean_bh,wwt_vs_rule_median_of_diff_bh,wwt_median_minus_rule_median_bh,all_tokens_mean,all_tokens_median,all_tokens_p90,variant_tokens_mean,variant_tokens_median,variant_tokens_p90,tokens_basis,usd_total,variant_usd_total,wall_s_mean,wall_s_median,wall_s_p90,wall_s_total,cap_binding_share,n_budget_exhausted,n_calls_mean,n_calls_median,proposals_mean,proposals_when_accepted_mean,proposals_per_accepted_adjustment,n_with_revision,revisions_mean,tool_rounds_total,tool_get_state,tool_preview_dispatch,tool_rounds_per_trajectory,vendor_refused_calls,traj_with_vendor_refused_call
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,loose,20000,MULTI-G,True,MULTI,1,240,240,121,0,1,0,118,0,0,0.504167,0.000000,0.004167,0.000000,0.491667,0.000000,0.000000,144,0.361111,0.361111,0.284722,0.284722,0.236111,96,0.000000,121,1.000000,0.012309,0.068275,0.174702,1.000000,703.1259,637.7516,1344.5468,2859.5096,0.0330,0.0000,0.0000,9892.2,8519.0,18237.0,9892.2,8519.0,18237.0,whole trajectory (the revision tail is this variant's own spend),0.248330,0.248330,14.718,13.512,22.646,3532.4,0.166667,40,6.87,6.0,3.100,2.281,6.149,186,2.100,188,122,66,0.783,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,loose,20000,MULTI-UG,True,MULTI,1,240,240,0,0,0,0,240,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,1.000000,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,9892.2,8519.0,18237.0,6736.7,6332.5,8438.0,up to the first final (the revision tail belongs to the guarded variants),0.248330,0.203999,14.718,13.512,22.646,3532.4,0.166667,40,6.87,6.0,1.000,,,0,0.000,188,122,66,0.783,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,loose,20000,SINGLE+G,True,SINGLE,1,240,240,105,0,4,0,131,0,0,0.437500,0.000000,0.016667,0.000000,0.545833,0.000000,0.000000,144,0.270833,0.270833,0.187500,0.187500,0.125000,96,0.000000,105,1.000000,0.010132,0.090335,0.174702,1.000000,703.3182,637.7516,1344.5468,2859.5096,0.2252,0.0000,0.0000,8411.8,5036.0,18951.0,8411.8,5036.0,18951.0,whole trajectory (the revision tail is this variant's own spend),0.106103,0.106103,9.838,7.434,20.234,2361.1,0.245833,59,5.93,4.0,4.179,2.419,9.552,187,3.179,219,175,44,0.912,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,loose,20000,SINGLE-UG *,False,SINGLE,1,240,240,0,0,0,0,240,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,1.000000,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,8411.8,5036.0,18951.0,3545.0,3398.0,4333.0,up to the first final (the revision tail belongs to the guarded variants),0.106103,0.045413,9.838,7.434,20.234,2361.1,0.245833,59,5.93,4.0,1.000,,,0,0.000,219,175,44,0.912,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,tight,5000,MULTI-G,True,MULTI,1,240,240,0,0,0,1,239,0,0,0.000000,0.000000,0.000000,0.004167,0.995833,0.000000,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.010417,0,,,,,0.995833,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,3398.7,3408.0,4043.0,3398.7,3408.0,4043.0,whole trajectory (the revision tail is this variant's own spend),0.169068,0.169068,7.587,7.515,9.383,1821.0,1.000000,240,2.77,3.0,1.000,,,0,0.000,188,124,64,0.783,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,tight,5000,MULTI-UG,True,MULTI,1,240,240,0,0,0,0,239,1,0,0.000000,0.000000,0.000000,0.000000,0.995833,0.004167,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,0.995833,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,3398.7,3408.0,4043.0,3398.7,3408.0,4043.0,up to the first final (the revision tail belongs to the guarded variants),0.169068,0.169068,7.587,7.515,9.383,1821.0,1.000000,240,2.77,3.0,1.000,,,0,0.000,188,124,64,0.783,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,tight,5000,SINGLE+G,True,SINGLE,1,240,240,16,0,11,7,206,0,0,0.066667,0.000000,0.045833,0.029167,0.858333,0.000000,0.000000,144,0.048611,0.048611,0.041667,0.041667,0.034722,96,0.072917,16,1.000000,0.002671,0.105004,0.123812,0.970833,703.0890,637.7516,1339.9804,2859.5096,-0.0039,0.0000,0.0000,3344.0,3409.5,4152.0,3344.0,3409.5,4152.0,whole trajectory (the revision tail is this variant's own spend),0.110663,0.110663,4.473,4.146,6.396,1073.6,0.729167,175,2.71,3.0,1.133,2.000,17.000,32,0.133,217,172,45,0.904,0,0
deepseek,"DeepSeek V4-Pro (open weights, hosted)",4,tight,5000,SINGLE-UG *,False,SINGLE,1,240,240,0,0,0,0,225,15,0,0.000000,0.000000,0.000000,0.000000,0.937500,0.062500,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,0.937500,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,3344.0,3409.5,4152.0,3156.0,3304.5,4152.0,up to the first final (the revision tail belongs to the guarded variants),0.110663,0.106702,4.473,4.146,6.396,1073.6,0.729167,175,2.71,3.0,1.000,,,0,0.000,217,172,45,0.904,0,0
sonnet,Claude Sonnet 5 (closed),5,loose,24000,MULTI-G,True,MULTI,1,240,240,156,0,4,0,80,0,0,0.650000,0.000000,0.016667,0.000000,0.333333,0.000000,0.000000,144,0.437500,0.437500,0.291667,0.291667,0.236111,96,0.000000,156,1.000000,0.007960,0.090335,0.174702,1.000000,703.4399,637.7516,1348.7516,2859.5096,0.3470,0.0000,0.0000,11323.6,10316.5,14545.0,11323.6,10316.5,14545.0,whole trajectory (the revision tail is this variant's own spend),3.208696,3.208696,18.509,17.934,22.122,4442.2,0.029167,7,4.30,4.0,1.196,1.051,1.840,34,0.196,25,13,12,0.104,0,0
sonnet,Claude Sonnet 5 (closed),5,loose,24000,MULTI-UG,True,MULTI,1,240,240,0,177,0,0,57,6,0,0.000000,0.737500,0.000000,0.000000,0.237500,0.025000,0.000000,144,0.583333,0.583333,0.430556,0.430556,0.375000,96,0.000000,177,0.000000,,,,0.237500,743.9095,652.9636,1443.9180,2859.5096,40.8166,0.0000,15.2120,11323.6,10316.5,14545.0,10643.0,10049.0,11757.0,up to the first final (the revision tail belongs to the guarded variants),3.208696,3.143368,18.509,17.934,22.122,4442.2,0.029167,7,4.30,4.0,1.000,,,0,0.000,25,13,12,0.104,0,0
sonnet,Claude Sonnet 5 (closed),5,loose,24000,SINGLE+G,True,SINGLE,1,240,240,164,0,3,0,73,0,0,0.683333,0.000000,0.012500,0.000000,0.304167,0.000000,0.000000,144,0.479167,0.479167,0.333333,0.333333,0.291667,96,0.000000,164,1.000000,0.005020,0.090335,0.174702,1.000000,703.2604,637.7516,1344.5468,2859.5096,0.1674,0.0000,0.0000,6588.0,5866.5,8917.0,6588.0,5866.5,8917.0,whole trajectory (the revision tail is this variant's own spend),1.699371,1.699371,8.824,8.594,11.579,2117.7,0.020833,5,2.88,3.0,1.246,1.098,1.823,36,0.246,226,71,155,0.942,0,0
sonnet,Claude Sonnet 5 (closed),5,loose,24000,SINGLE-UG *,False,SINGLE,1,240,240,0,181,0,0,52,7,0,0.000000,0.754167,0.000000,0.000000,0.216667,0.029167,0.000000,144,0.597222,0.597222,0.444444,0.444444,0.395833,96,0.000000,181,0.000000,,,,0.216667,744.6920,637.7516,1443.9180,2859.5096,41.5991,0.0000,0.0000,6588.0,5866.5,8917.0,5717.1,5666.5,6821.0,up to the first final (the revision tail belongs to the guarded variants),1.699371,1.614762,8.824,8.594,11.579,2117.7,0.020833,5,2.88,3.0,1.000,,,0,0.000,226,71,155,0.942,0,0
sonnet,Claude Sonnet 5 (closed),5,tight,6000,MULTI-G,True,MULTI,1,240,240,49,0,10,5,176,0,0,0.204167,0.000000,0.041667,0.020833,0.733333,0.000000,0.000000,144,0.180556,0.180556,0.152778,0.152778,0.131944,96,0.052083,49,1.000000,0.008896,0.106119,0.161599,0.979167,703.2379,637.7516,1348.7516,2859.5096,0.1450,0.0000,0.0000,4671.4,3913.0,6474.0,4671.4,3913.0,6474.0,whole trajectory (the revision tail is this variant's own spend),2.333175,2.333175,12.323,12.374,14.673,2957.4,1.000000,240,2.43,2.0,1.000,1.000,4.898,0,0.000,24,11,13,0.100,0,0
sonnet,Claude Sonnet 5 (closed),5,tight,6000,MULTI-UG,True,MULTI,1,240,240,0,52,0,0,176,12,0,0.000000,0.216667,0.000000,0.000000,0.733333,0.050000,0.000000,144,0.201389,0.201389,0.173611,0.173611,0.152778,96,0.000000,52,0.000000,,,,0.733333,717.5984,637.7516,1422.7884,3135.1832,14.5055,0.0000,0.0000,4671.4,3913.0,6474.0,4671.4,3913.0,6474.0,up to the first final (the revision tail belongs to the guarded variants),2.333175,2.333175,12.323,12.374,14.673,2957.4,1.000000,240,2.43,2.0,1.000,,,0,0.000,24,11,13,0.100,0,0
sonnet,Claude Sonnet 5 (closed),5,tight,6000,SINGLE+G,True,SINGLE,1,240,240,124,0,27,2,87,0,0,0.516667,0.000000,0.112500,0.008333,0.362500,0.000000,0.000000,144,0.340278,0.340278,0.229167,0.229167,0.187500,96,0.020833,124,1.000000,0.012309,0.106119,0.174702,0.991667,703.2604,637.7516,1344.5468,2859.5096,0.1674,0.0000,0.0000,4981.6,5022.0,6117.0,4981.6,5022.0,6117.0,whole trajectory (the revision tail is this variant's own spend),2.799764,2.799764,7.367,7.251,9.617,1768.1,0.391667,94,2.48,2.0,1.000,1.000,1.935,0,0.000,231,72,159,0.963,0,0
sonnet,Claude Sonnet 5 (closed),5,tight,6000,SINGLE-UG *,False,SINGLE,1,240,240,0,144,0,0,87,9,0,0.000000,0.600000,0.000000,0.000000,0.362500,0.037500,0.000000,144,0.472222,0.472222,0.354167,0.354167,0.305556,96,0.000000,144,0.000000,,,,0.362500,736.6626,637.7516,1443.9180,2859.5096,33.5697,0.0000,0.0000,4981.6,5022.0,6117.0,4981.6,5022.0,6117.0,up to the first final (the revision tail belongs to the guarded variants),2.799764,2.799764,7.367,7.251,9.617,1768.1,0.391667,94,2.48,2.0,1.000,,,0,0.000,231,72,159,0.963,0,0
opus,"Claude Opus 5 (closed, flagship)",6,loose,26000,MULTI-G,True,MULTI,1,240,240,153,0,1,1,85,0,0,0.637500,0.000000,0.004167,0.004167,0.354167,0.000000,0.000000,144,0.416667,0.416667,0.222222,0.222222,0.208333,96,0.010417,153,1.000000,0.007960,0.090335,0.174702,0.995833,706.1289,637.7516,1344.5468,2859.5096,3.0360,0.0000,0.0000,13471.7,13247.0,18168.0,13471.7,13247.0,18168.0,whole trajectory (the revision tail is this variant's own spend),8.289775,8.289775,24.734,24.619,31.666,5936.3,0.033333,8,5.37,5.5,1.225,1.085,1.922,39,0.225,281,15,266,1.171,48,47
opus,"Claude Opus 5 (closed, flagship)",6,loose,26000,MULTI-UG,True,MULTI,1,240,240,0,170,0,0,62,8,0,0.000000,0.708333,0.000000,0.000000,0.258333,0.033333,0.000000,144,0.548611,0.548611,0.347222,0.347222,0.333333,96,0.000000,170,0.000000,,,,0.258333,750.4759,652.9636,1566.9268,2859.5096,47.3830,0.0000,15.2120,13471.7,13247.0,18168.0,12692.8,13029.0,15898.0,up to the first final (the revision tail belongs to the guarded variants),8.289775,8.105837,24.734,24.619,31.666,5936.3,0.033333,8,5.37,5.5,1.000,,,0,0.000,281,15,266,1.171,48,47
opus,"Claude Opus 5 (closed, flagship)",6,loose,26000,SINGLE+G,True,SINGLE,1,240,240,158,0,0,0,82,0,0,0.658333,0.000000,0.000000,0.000000,0.341667,0.000000,0.000000,144,0.437500,0.437500,0.250000,0.250000,0.236111,96,0.000000,158,1.000000,0.004660,0.090335,0.174702,1.000000,706.2300,637.7516,1344.5468,2859.5096,3.1370,0.0000,0.0000,7257.2,6237.5,10309.0,7257.2,6237.5,10309.0,whole trajectory (the revision tail is this variant's own spend),3.646612,3.646612,12.103,11.630,16.163,2904.8,0.016667,4,3.17,3.0,1.258,1.095,1.911,42,0.258,384,55,329,1.600,24,24
opus,"Claude Opus 5 (closed, flagship)",6,loose,26000,SINGLE-UG *,False,SINGLE,1,240,240,0,176,0,0,55,9,0,0.000000,0.733333,0.000000,0.000000,0.229167,0.037500,0.000000,144,0.576389,0.576389,0.381944,0.381944,0.361111,96,0.000000,176,0.000000,,,,0.229167,751.1062,652.9636,1566.9268,2859.5096,48.0133,0.0000,15.2120,7257.2,6237.5,10309.0,6361.5,6093.0,7176.0,up to the first final (the revision tail belongs to the guarded variants),3.646612,3.440723,12.103,11.630,16.163,2904.8,0.016667,4,3.17,3.0,1.000,,,0,0.000,384,55,329,1.600,24,24
opus,"Claude Opus 5 (closed, flagship)",6,tight,6500,MULTI-G,True,MULTI,1,240,240,30,0,3,1,206,0,0,0.125000,0.000000,0.012500,0.004167,0.858333,0.000000,0.000000,144,0.097222,0.097222,0.083333,0.083333,0.055556,96,0.010417,30,1.000000,0.008896,0.090335,0.123812,0.995833,703.1006,637.7516,1339.9804,2859.5096,0.0076,0.0000,0.0000,5225.5,5199.5,6421.0,5225.5,5199.5,6421.0,whole trajectory (the revision tail is this variant's own spend),4.729631,4.729631,14.036,14.058,16.897,3368.6,1.000000,240,2.86,3.0,1.000,1.000,8.000,0,0.000,243,14,229,1.012,38,36
opus,"Claude Opus 5 (closed, flagship)",6,tight,6500,MULTI-UG,True,MULTI,1,240,240,0,31,0,0,206,3,0,0.000000,0.129167,0.000000,0.000000,0.858333,0.012500,0.000000,144,0.104167,0.104167,0.090278,0.090278,0.062500,96,0.000000,31,0.000000,,,,0.858333,704.8866,637.7516,1339.9804,2859.5096,1.7937,0.0000,0.0000,5225.5,5199.5,6421.0,5225.5,5199.5,6421.0,up to the first final (the revision tail belongs to the guarded variants),4.729631,4.729631,14.036,14.058,16.897,3368.6,1.000000,240,2.86,3.0,1.000,,,0,0.000,243,14,229,1.012,38,36
opus,"Claude Opus 5 (closed, flagship)",6,tight,6500,SINGLE+G,True,SINGLE,1,240,240,132,0,31,4,73,0,0,0.550000,0.000000,0.129167,0.016667,0.304167,0.000000,0.000000,144,0.333333,0.333333,0.159722,0.159722,0.145833,96,0.041667,132,1.000000,0.010132,0.090335,0.174702,0.983333,703.4079,637.7516,1344.5468,2859.5096,0.3150,0.0000,0.0000,5800.4,5936.5,6841.0,5800.4,5936.5,6841.0,whole trajectory (the revision tail is this variant's own spend),7.794961,7.794961,10.507,10.817,13.141,2521.8,0.412500,99,2.80,3.0,1.000,1.000,1.818,0,0.000,378,57,321,1.575,26,26
opus,"Claude Opus 5 (closed, flagship)",6,tight,6500,SINGLE-UG *,False,SINGLE,1,240,240,0,157,0,0,73,10,0,0.000000,0.654167,0.000000,0.000000,0.304167,0.041667,0.000000,144,0.500000,0.500000,0.319444,0.319444,0.298611,96,0.000000,157,0.000000,,,,0.304167,740.7102,637.7516,1443.9180,2859.5096,37.6173,0.0000,0.0000,5800.4,5936.5,6841.0,5800.4,5936.5,6841.0,up to the first final (the revision tail belongs to the guarded variants),7.794961,7.794961,10.507,10.817,13.141,2521.8,0.412500,99,2.80,3.0,1.000,,,0,0.000,378,57,321,1.575,26,26
